nr;name;altitude_from;altitude_to;length;lift_cat;lift_nr;lift_name;slope_cat;geoid;geom;rid;pid;number;duration;slopeType;regionId;skiline
1;Armentarola;2735;1731;7300;;;;medium;;;10244;215840;1;2459;red;1;0
2;Lagazuoi;2735;2100;2388;;;;medium;;;10863;215881;2;1023;red;1;0
4;Falzarego;2300;2057;2183;;;;easy;;;10879;215874;4;556;blue;1;0
5;Col Gallina;2271;2158;696;;;;easy;;;10776;215862;5;212;blue;1;0
6;Ovest;2171;2053;510;;;;medium;;;10775;215897;6;291;red;1;0
7;Limedes;2300;2053;1798;;;;easy;;;10188;215883;7;233;blue;1;0
8;Falzarego Bai de Dones;;;1579;;;;medium;;;10707;215868;8;427;red;1;0
9;Averau;2416;2151;1235;;;;easy;;;10217;215841;9;439;blue;1;0
10;Potor;2255;1902;1431;;;;medium;;;10884;215901;10;183;red;1;0
11;5 Torri;2255;1877;1528;;;;medium;;;10275;215834;11;524;red;1;0
12;Scoiattoli;2255;2073;607;;;;medium;;;10395;215913;12;164;red;1;0
14;Lino Lacedelli;2255;1902;1431;;;;medium;;;10884;215902;14;387;red;1;0
90;Nuvolau;2416;1993;1800;;;;medium;;;10786;215891;90;300;red;1;0
91;Raccordo Nuvolau;2416;2374;264;;;;easy;;;10409;215903;91;75;blue;1;0
92;Skiweg Croda Negra;2413;2167;1740;;;;medium;;;10559;215915;92;356;red;1;0
11;Collegamento Col Gallina-Lagazuoi;2255;1877;1528;;;;medium;;;76378592;76378592;11;304;red;1;0
;Scoiattoli bassa;2255;1877;1528;;;;medium;;;76378592;76378593;;414;red;1;0
;5 Torri - Averau;;;200;;;;medium;;;76378592;76378594;;80;red;1;0
;Campo Scuola Socrepes;1368;1334;413;;;;easy;;;10158;215849;;112;blue;1;0
19;Costón del Falco;1626;1466;1109;;;;easy;;;10916;215869;19;461;blue;1;0
21;Olympia  Pocol;1673;1465;1506;;;;easy;;;10536;215894;21;408;blue;1;0
23;Rosà;1573;1513;656;;;;easy;;;10133;215911;23;495;blue;1;0
25;Socrepes;1552;1504;332;;;;easy;;;10864;215917;25;226;blue;1;0
26;Redoncè;1552;1377;917;;;;easy;;;10258;215905;26;248;blue;1;0
27;Roncato;1502;1335;1006;;;;easy;;;10321;215909;27;374;blue;1;0
28;San Zan;1502;1373;1243;;;;easy;;;10532;215912;28;424;blue;1;0
29;Col Tarón;1625;1493;863;;;;easy;;;10872;215864;29;347;blue;1;0
